step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.9552,0.1306,31372.2,2.6,71.0,97.0,1324.0,48.55
200,4.85581,0.1219,33595.3,4.7,70.0,77.0,1311.0,48.78
300,4.44275,0.1197,34207.6,2.8,71.0,0.0,1299.0,49.03
400,4.24692,0.1183,34620.4,24.3,71.0,36.0,1320.0,49.5
500,4.10619,0.1173,34908.5,7.4,71.0,6.0,1310.0,48.07
600,3.8336,0.1138,35979.3,1.4,71.0,1.0,1327.0,49.7
700,3.79067,0.1139,35962.5,3.7,71.0,0.0,1301.0,49.61
800,3.73971,0.1134,36112.1,1.8,71.0,12.0,1302.0,49.75
900,3.6863,0.1132,36182.4,0.9,72.0,9.0,1302.0,49.67
1000,3.56886,0.1133,36164.7,5.6,71.0,0.0,1311.0,48.77
1100,3.59511,0.1133,36166.5,7.0,73.0,3.0,1322.0,49.85
1200,3.54138,0.1132,36187.8,2.6,74.0,96.0,1310.0,50.15
1300,3.40441,0.1133,36152.0,2.2,71.0,0.0,1311.0,49.25
1400,3.43391,0.1133,36146.8,5.1,71.0,0.0,1327.0,49.25
1500,3.27575,0.1132,36187.1,6.3,75.0,83.0,1317.0,49.78
1600,3.30586,0.1132,36181.5,5.1,71.0,0.0,1318.0,49.89
1700,3.41967,0.1136,36044.0,1.8,71.0,0.0,1308.0,49.39
1800,3.32959,0.1136,36070.4,2.2,71.0,0.0,1312.0,49.26
1900,3.08461,0.1136,36050.9,2.4,71.0,0.0,1306.0,47.2
2000,3.11516,0.1137,36009.4,10.7,71.0,25.0,1311.0,47.72
2100,3.13439,0.1137,36012.4,17.5,71.0,2.0,1302.0,46.61
2200,3.0522,0.1133,36160.6,2.6,73.0,97.0,1294.0,49.57
2300,3.11822,0.1132,36184.0,3.1,71.0,0.0,1294.0,45.91
2400,3.15514,0.1131,36222.5,3.1,71.0,0.0,1294.0,46.68
2500,2.98417,0.1129,36271.7,7.2,72.0,0.0,1294.0,48.74
2600,2.9337,0.1129,36295.4,1.8,72.0,82.0,1294.0,49.16
2700,2.98621,0.1131,36203.8,1.8,71.0,0.0,1294.0,49.49
2800,2.99517,0.1131,36202.2,2.2,72.0,67.0,1294.0,49.75
2900,2.91014,0.1132,36174.5,2.3,71.0,17.0,1294.0,49.43
3000,2.80379,0.1132,36181.3,6.4,71.0,6.0,1294.0,48.43
3100,2.77627,0.1132,36185.7,3.1,74.0,93.0,1294.0,50.17
3200,2.86219,0.1129,36281.9,3.2,72.0,59.0,1294.0,50.27
3300,2.89552,0.1129,36272.9,2.6,71.0,0.0,1303.0,49.54
3400,2.86008,0.1128,36296.3,2.6,71.0,0.0,1295.0,49.78
3500,2.73723,0.1129,36284.1,7.1,73.0,82.0,1305.0,49.68
3600,2.73748,0.113,36248.4,1.4,71.0,18.0,1298.0,49.41
3700,2.82479,0.113,36232.5,2.1,72.0,70.0,1316.0,48.49
3800,2.53736,0.1131,36220.3,3.9,71.0,1.0,1297.0,48.37
3900,2.74676,0.1133,36142.7,2.3,72.0,0.0,1299.0,49.52
4000,2.66085,0.1137,36020.7,8.3,71.0,12.0,1314.0,44.1
4100,2.67062,0.1138,35995.4,2.6,71.0,0.0,1300.0,49.6
4200,2.81884,0.1139,35968.1,21.7,72.0,20.0,1315.0,49.78
4300,2.58311,0.1139,35965.5,3.5,72.0,47.0,1291.0,49.56
4400,2.7448,0.1137,36024.6,3.1,73.0,10.0,1296.0,49.59
4500,2.59227,0.1133,36148.1,6.6,75.0,62.0,1292.0,49.83
4600,2.62563,0.1134,36133.0,2.6,73.0,14.0,1303.0,50.33
4700,2.60611,0.1139,35976.0,19.4,71.0,18.0,1314.0,36.12
4800,2.58351,0.1139,35964.5,3.7,71.0,0.0,1304.0,49.8
4900,2.40991,0.1141,35911.8,25.8,72.0,71.0,1305.0,50.07
5000,2.47455,0.1141,35886.0,5.9,72.0,0.0,1293.0,49.63
5100,2.53844,0.1141,35898.2,4.5,71.0,0.0,1308.0,45.71
5200,2.38728,0.1134,36115.7,3.5,74.0,82.0,1289.0,49.16
5300,2.43032,0.1133,36155.8,0.9,73.0,97.0,1289.0,49.71
5400,2.46804,0.1131,36204.5,1.8,74.0,21.0,1320.0,49.89
5500,2.28522,0.1131,36226.5,6.7,72.0,37.0,1315.0,49.85
5600,2.23698,0.113,36259.0,1.3,71.0,0.0,1320.0,49.57
5700,2.4124,0.1131,36210.7,4.4,71.0,7.0,1317.0,49.67
5800,2.34754,0.1133,36137.2,10.2,72.0,2.0,1350.0,49.57
5900,2.33187,0.1139,35969.9,2.6,73.0,38.0,1349.0,49.65
6000,2.34463,0.1139,35955.0,8.9,70.0,18.0,1320.0,47.8
