step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,6.09125,0.1562,26226.5,4.3,57.0,0.0,3894.0,47.58
200,5.29076,0.1414,28976.5,2.6,65.0,78.0,3917.0,48.54
300,4.63962,0.1364,30027.4,3.3,68.0,97.0,3917.0,48.89
400,4.35168,0.1345,30443.9,3.1,67.0,25.0,3917.0,50.16
500,4.20515,0.1333,30721.6,6.8,67.0,0.0,3917.0,49.81
600,4.07287,0.1281,31965.6,18.3,68.0,0.0,1383.0,47.48
700,3.99235,0.1274,32152.7,3.0,73.0,42.0,1383.0,50.33
800,3.78866,0.1287,31815.7,2.6,69.0,39.0,1353.0,47.44
900,3.76446,0.1282,31943.7,3.3,70.0,0.0,1377.0,47.96
1000,3.66504,0.1277,32064.4,5.7,71.0,59.0,1349.0,49.88
1100,3.56026,0.1278,32060.8,3.9,70.0,0.0,1354.0,50.11
1200,3.64674,0.1288,31806.9,2.1,74.0,91.0,1349.0,48.82
1300,3.58437,0.1276,32089.2,1.3,74.0,91.0,1349.0,49.65
1400,3.44314,0.127,32251.1,2.7,72.0,0.0,1349.0,50.53
1500,3.47941,0.1284,31892.5,6.4,72.0,0.0,1349.0,50.48
1600,3.40577,0.1275,32123.5,0.5,71.0,0.0,1336.0,51.08
1700,3.30169,0.1266,32352.5,1.1,72.0,26.0,1333.0,50.11
1800,3.25443,0.127,32263.6,1.4,72.0,9.0,1319.0,51.24
1900,3.32284,0.1278,32041.0,3.3,73.0,75.0,1319.0,49.93
2000,3.39108,0.1266,32354.7,10.2,74.0,48.0,1319.0,48.56
2100,3.24043,0.127,32252.6,1.3,69.0,0.0,1319.0,49.24
2200,3.22402,0.1287,31813.7,2.1,72.0,93.0,1319.0,50.28
2300,3.07475,0.1287,31834.1,1.3,74.0,28.0,1319.0,47.65
2400,3.11785,0.128,32000.6,0.9,71.0,0.0,1319.0,51.33
2500,3.11116,0.1293,31676.3,7.8,71.0,8.0,1319.0,46.72
2600,3.06026,0.1292,31709.8,10.6,72.0,0.0,1319.0,51.09
2700,3.22553,0.1281,31971.5,3.5,72.0,0.0,1319.0,50.12
2800,2.96109,0.1278,32040.5,3.3,72.0,0.0,1319.0,50.74
2900,3.13585,0.1299,31536.2,6.1,74.0,37.0,1319.0,42.1
3000,2.92375,0.1291,31724.7,7.1,71.0,0.0,1319.0,48.41
3100,3.02664,0.1288,31791.0,13.7,73.0,89.0,1319.0,50.09
3200,2.96604,0.1302,31460.5,2.6,72.0,0.0,1319.0,51.6
3300,2.96731,0.1298,31554.8,4.5,71.0,4.0,1319.0,46.21
3400,2.91255,0.1281,31970.2,3.1,72.0,31.0,1319.0,47.01
3500,2.94321,0.1281,31978.5,5.7,71.0,18.0,1319.0,46.45
3600,2.86126,0.1289,31767.1,3.0,72.0,0.0,1319.0,50.44
3700,2.92365,0.1284,31908.2,3.0,73.0,89.0,1319.0,50.45
3800,2.90462,0.1276,32112.6,2.1,72.0,0.0,1319.0,48.89
3900,2.91797,0.1287,31821.0,2.5,72.0,67.0,1319.0,49.05
4000,2.79454,0.1275,32121.4,8.0,71.0,16.0,1319.0,44.47
4100,2.87523,0.1261,32471.8,2.2,75.0,75.0,1319.0,50.07
4200,2.80553,0.1258,32556.9,0.5,71.0,0.0,1319.0,46.94
4300,2.83216,0.1269,32283.0,20.4,72.0,54.0,1319.0,49.88
4400,2.88248,0.1256,32606.0,0.8,72.0,0.0,1319.0,47.77
4500,2.74725,0.1252,32711.0,6.7,72.0,0.0,1319.0,50.76
4600,2.68226,0.1273,32168.6,2.5,75.0,74.0,1319.0,50.4
4700,2.89414,0.126,32496.0,1.8,72.0,0.0,1319.0,50.83
4800,2.8553,0.1258,32570.0,0.9,72.0,25.0,1319.0,50.22
4900,2.87269,0.1263,32425.8,10.9,73.0,76.0,1319.0,51.32
5000,2.53556,0.1272,32192.9,6.1,71.0,0.0,1319.0,45.76
5100,2.6609,0.1254,32672.9,2.9,72.0,0.0,1319.0,46.57
5200,2.59365,0.1252,32723.9,1.2,72.0,0.0,1319.0,50.69
5300,2.61612,0.1265,32367.9,2.6,72.0,0.0,1319.0,50.57
5400,2.57913,0.1254,32662.7,1.1,72.0,0.0,1319.0,48.12
5500,2.59107,0.1253,32677.4,5.3,71.0,17.0,1319.0,45.94
5600,2.68762,0.1265,32370.0,1.8,71.0,0.0,1319.0,50.03
5700,2.78775,0.1271,32234.6,5.7,74.0,1.0,1319.0,49.52
5800,2.45392,0.1256,32614.6,3.9,75.0,93.0,1319.0,50.51
5900,2.63834,0.1257,32588.0,3.5,72.0,0.0,1319.0,50.61
6000,2.69928,0.127,32240.9,8.2,71.0,14.0,1319.0,48.77
