step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95741,0.1383,29613.6,0.9,71.0,0.0,1346.0,50.07
200,5.95427,0.1298,31552.8,2.2,73.0,87.0,1346.0,50.49
300,5.98364,0.1269,32284.7,3.1,75.0,45.0,1346.0,50.07
400,5.97887,0.1254,32663.9,1.1,72.0,0.0,1346.0,50.75
500,5.98628,0.1245,32891.5,7.1,72.0,14.0,1346.0,46.44
600,5.90373,0.1216,33686.0,1.8,72.0,22.0,1375.0,48.55
700,5.63199,0.122,33584.6,2.3,72.0,0.0,1346.0,50.2
800,4.7617,0.122,33575.2,0.9,72.0,52.0,1346.0,48.44
900,4.39304,0.1224,33466.4,1.3,72.0,0.0,1346.0,50.34
1000,4.15979,0.1228,33343.1,5.3,74.0,95.0,1346.0,49.89
1100,4.12198,0.1227,33381.3,0.5,74.0,0.0,1346.0,50.7
1200,4.04617,0.1223,33497.8,1.9,72.0,0.0,1346.0,50.3
1300,3.91493,0.1226,33414.4,24.2,72.0,0.0,1369.0,50.91
1400,3.8371,0.1228,33351.9,3.6,72.0,0.0,1351.0,46.58
1500,3.69021,0.1227,33369.7,9.4,72.0,13.0,1369.0,47.6
1600,3.62307,0.1231,33280.8,6.9,72.0,56.0,1365.0,50.65
1700,3.6922,0.1234,33198.8,1.4,74.0,11.0,1349.0,49.58
1800,3.59456,0.1232,33238.8,2.3,72.0,13.0,1347.0,50.48
1900,3.34988,0.1231,33263.8,0.9,72.0,0.0,1347.0,50.55
2000,3.33689,0.1229,33331.3,13.9,71.0,15.0,1347.0,44.6
2100,3.3397,0.1223,33482.2,2.6,73.0,0.0,1347.0,50.49
2200,3.21882,0.1229,33321.7,4.8,70.0,99.0,1347.0,28.42
2300,3.27333,0.1229,33328.9,1.5,72.0,0.0,1347.0,50.68
2400,3.33955,0.1225,33435.1,4.2,75.0,54.0,1347.0,48.76
2500,3.1474,0.1229,33315.4,5.7,71.0,16.0,1347.0,46.29
2600,3.06421,0.1233,33214.0,1.8,72.0,0.0,1347.0,50.63
2700,3.12368,0.123,33304.2,3.1,71.0,57.0,1347.0,48.5
2800,3.10142,0.1234,33194.0,1.3,72.0,0.0,1347.0,50.53
2900,3.02597,0.1239,33047.2,1.4,71.0,0.0,1347.0,46.77
3000,2.95417,0.124,33042.3,5.9,72.0,50.0,1347.0,50.22
3100,2.95084,0.1236,33148.2,1.4,72.0,0.0,1347.0,50.12
3200,2.97741,0.1232,33245.7,2.2,72.0,0.0,1347.0,49.08
3300,3.00834,0.1228,33361.1,0.9,73.0,0.0,1347.0,50.64
3400,2.93403,0.1222,33510.1,2.3,76.0,69.0,1347.0,50.73
3500,2.85267,0.1222,33519.6,5.8,72.0,35.0,1347.0,49.71
3600,2.86731,0.1226,33412.6,0.9,72.0,0.0,1347.0,50.46
3700,2.92653,0.1225,33434.4,3.9,75.0,53.0,1347.0,50.92
3800,2.65255,0.1225,33436.6,3.0,75.0,93.0,1347.0,51.22
3900,2.86291,0.123,33308.0,10.4,72.0,2.0,1363.0,50.71
4000,2.78225,0.1231,33278.2,12.8,75.0,37.0,1504.0,49.34
4100,2.80084,0.1236,33135.4,2.6,72.0,0.0,1462.0,50.56
4200,2.92534,0.1235,33177.9,1.3,75.0,94.0,1457.0,49.46
4300,2.70341,0.1241,33002.0,0.5,71.0,0.0,1457.0,50.22
4400,2.87555,0.1234,33185.5,1.3,72.0,0.0,1457.0,50.05
4500,2.71156,0.1228,33362.5,5.9,72.0,12.0,1438.0,47.46
4600,2.74861,0.1227,33381.5,2.6,72.0,71.0,1445.0,48.79
4700,2.73251,0.1227,33382.3,1.5,74.0,97.0,1440.0,50.33
4800,2.71329,0.1223,33487.3,1.5,72.0,0.0,1440.0,46.58
4900,2.54506,0.1231,33274.1,1.4,71.0,0.0,1470.0,46.78
5000,2.63977,0.1233,33230.5,6.3,72.0,1.0,1431.0,46.29
5100,2.67724,0.1229,33323.2,2.2,72.0,3.0,1506.0,49.84
5200,2.51833,0.1229,33330.2,3.9,72.0,0.0,1506.0,49.39
5300,2.56839,0.1227,33373.8,23.1,72.0,0.0,1411.0,50.75
5400,2.61354,0.1231,33268.9,1.8,76.0,97.0,1473.0,50.03
5500,2.42023,0.1237,33124.5,9.2,73.0,84.0,1451.0,46.08
5600,2.38463,0.1237,33107.3,17.1,71.0,0.0,1404.0,46.62
5700,2.52132,0.1248,32809.0,3.9,74.0,3.0,1409.0,50.74
5800,2.50035,0.1251,32736.4,1.4,72.0,59.0,1389.0,49.14
5900,2.45213,0.1242,32977.0,2.6,72.0,0.0,1380.0,49.32
6000,2.49204,0.1241,32995.1,6.5,71.0,0.0,1380.0,46.19
