2026-09-15 20:14:05,663 | INFO    | main | ================================================================
2026-09-15 20:14:05,663 | INFO    | main | self-learning pipeline (steps=6000, model=6L/512E, vocab=4096)
2026-09-15 20:14:05,663 | INFO    | main | ================================================================
2026-09-15 20:14:05,876 | INFO    | data_engine | buffer has 687 valid block(s); skipping seed
2026-09-15 20:14:05,876 | INFO    | main | engine: Standard PyTorch AMP (forced)
2026-09-15 20:14:05,878 | INFO    | data_engine | corpus mmap already present (corpus_f7eb467c1d7b157a.npy)
2026-09-15 20:14:17,744 | INFO    | main | step 23      engine=pytorch train=7.8138 blocks=687 val_best=inf
2026-09-15 20:14:27,775 | INFO    | main | step 50      engine=pytorch train=7.0649 blocks=687 val_best=inf
2026-09-15 20:14:38,081 | INFO    | main | step 78      engine=pytorch train=6.6078 blocks=687 val_best=inf
2026-09-15 20:14:46,232 | INFO    | pytorch_trainer | M step=100    train=5.9550  31430.4 tok/s  step=0.130s  cpu=1.8% gpu=51.0% vram=1251.0MB temp=70.0C pw=48.3W
2026-09-15 20:14:48,088 | INFO    | main | step 105     engine=pytorch train=6.3497 blocks=687 val_best=inf
2026-09-15 20:14:58,428 | INFO    | main | step 133     engine=pytorch train=6.1991 blocks=687 val_best=inf
2026-09-15 20:15:08,720 | INFO    | main | step 161     engine=pytorch train=6.1747 blocks=687 val_best=inf
2026-09-15 20:15:19,073 | INFO    | main | step 189     engine=pytorch train=6.0925 blocks=687 val_best=inf
2026-09-15 20:15:23,173 | INFO    | pytorch_trainer | M step=200    train=5.9544  33856.6 tok/s  step=0.121s  cpu=1.8% gpu=22.0% vram=1251.0MB temp=70.0C pw=49.04W
2026-09-15 20:15:27,600 | WARNING | self_learner | PLATEAU detected after 100 stagnant steps (best rolling avg 5.9927) - refreshing knowledge
2026-09-15 20:15:27,600 | INFO    | data_engine | knowledge discovery triggered
2026-09-15 20:15:33,816 | INFO    | data_engine | fetched 4/4 targets
