2026-09-15 13:22:28,742 | INFO    | main | ================================================================
2026-09-15 13:22:28,742 | INFO    | main | self-learning pipeline (steps=6000, model=6L/512E, vocab=4096)
2026-09-15 13:22:28,742 | INFO    | main | ================================================================
2026-09-15 13:22:28,964 | INFO    | data_engine | buffer has 687 valid block(s); skipping seed
2026-09-15 13:22:28,964 | INFO    | main | engine: Standard PyTorch AMP (forced)
2026-09-15 13:22:28,967 | INFO    | data_engine | corpus mmap already present (corpus_f7eb467c1d7b157a.npy)
2026-09-15 13:22:40,984 | INFO    | main | step 22      engine=pytorch train=7.7158 blocks=687 val_best=inf
2026-09-15 13:22:51,229 | INFO    | main | step 49      engine=pytorch train=7.0027 blocks=687 val_best=inf
2026-09-15 13:23:01,422 | INFO    | main | step 76      engine=pytorch train=6.5864 blocks=687 val_best=inf
2026-09-15 13:23:10,647 | INFO    | pytorch_trainer | M step=100    train=5.9674  29380.9 tok/s  step=0.139s  cpu=10.5% gpu=27.0% vram=1295.0MB temp=73.0C pw=47.72W
2026-09-15 13:23:11,799 | INFO    | main | step 103     engine=pytorch train=6.3382 blocks=687 val_best=inf
2026-09-15 13:23:22,067 | INFO    | main | step 130     engine=pytorch train=6.2017 blocks=687 val_best=inf
2026-09-15 13:23:32,398 | INFO    | main | step 157     engine=pytorch train=6.1167 blocks=687 val_best=inf
2026-09-15 13:23:42,606 | INFO    | main | step 184     engine=pytorch train=6.0644 blocks=687 val_best=inf
2026-09-15 13:23:48,803 | INFO    | pytorch_trainer | M step=200    train=5.9616  31257.5 tok/s  step=0.131s  cpu=2.6% gpu=0.0% vram=1296.0MB temp=70.0C pw=49.15W
2026-09-15 13:23:52,982 | INFO    | main | step 211     engine=pytorch train=6.0366 blocks=687 val_best=inf
2026-09-15 13:24:03,269 | INFO    | main | step 238     engine=pytorch train=6.0188 blocks=687 val_best=inf
2026-09-15 13:24:13,434 | INFO    | main | step 264     engine=pytorch train=6.0137 blocks=687 val_best=inf
2026-09-15 13:24:17,583 | WARNING | self_learner | PLATEAU detected after 100 stagnant steps (best rolling avg 5.9958) - refreshing knowledge
2026-09-15 13:24:17,583 | INFO    | data_engine | knowledge discovery triggered
2026-09-15 13:24:18,729 | INFO    | data_engine | fetched 4/4 targets
2026-09-15 13:24:18,729 | INFO    | data_engine | collect_from(4 urls): 4 usable chunks
2026-09-15 13:24:18,954 | INFO    | data_engine | discovery round 94 added 0 block(s); buffer now 687
2026-09-15 13:24:23,496 | INFO    | main | step 287     engine=pytorch train=6.0070 blocks=687 val_best=inf
2026-09-15 13:24:28,551 | INFO    | pytorch_trainer | M step=300    train=5.9911  31966.9 tok/s  step=0.128s  cpu=3.0% gpu=0.0% vram=1295.0MB temp=72.0C pw=50.97W
2026-09-15 13:24:33,865 | INFO    | main | step 314     engine=pytorch train=6.0037 blocks=687 val_best=inf
2026-09-15 13:24:44,085 | INFO    | main | step 340     engine=pytorch train=5.9968 blocks=687 val_best=inf
2026-09-15 13:24:54,136 | INFO    | main | step 365     engine=pytorch train=6.0020 blocks=687 val_best=inf
2026-09-15 13:25:04,518 | INFO    | main | step 392     engine=pytorch train=6.0027 blocks=687 val_best=inf
2026-09-15 13:25:07,617 | INFO    | pytorch_trainer | M step=400    train=5.9866  32022.8 tok/s  step=0.128s  cpu=2.2% gpu=91.0% vram=1292.0MB temp=74.0C pw=50.43W
2026-09-15 13:25:14,893 | INFO    | main | step 419     engine=pytorch train=5.9953 blocks=687 val_best=inf
2026-09-15 13:25:25,261 | INFO    | main | step 446     engine=pytorch train=5.9921 blocks=687 val_best=inf
2026-09-15 13:25:35,597 | INFO    | main | step 473     engine=pytorch train=5.9938 blocks=687 val_best=inf
2026-09-15 13:25:45,608 | INFO    | main | step 499     engine=pytorch train=5.9888 blocks=687 val_best=inf
2026-09-15 13:25:46,422 | INFO    | pytorch_trainer | M step=500    train=5.9885  32115.0 tok/s  step=0.128s  cpu=30.3% gpu=16.0% vram=1296.0MB temp=71.0C pw=45.65W
2026-09-15 13:25:55,708 | INFO    | main | step 524     engine=pytorch train=5.9892 blocks=687 val_best=inf
2026-09-15 13:26:05,834 | INFO    | main | step 549     engine=pytorch train=5.9882 blocks=687 val_best=inf
2026-09-15 13:26:15,860 | INFO    | main | step 574     engine=pytorch train=5.9905 blocks=687 val_best=inf
2026-09-15 13:26:26,085 | INFO    | pytorch_trainer | M step=600    train=5.9080  32845.6 tok/s  step=0.125s  cpu=5.2% gpu=97.0% vram=1303.0MB temp=74.0C pw=50.63W
2026-09-15 13:26:26,462 | INFO    | main | step 601     engine=pytorch train=5.9864 blocks=687 val_best=inf
2026-09-15 13:26:36,616 | INFO    | main | step 623     engine=pytorch train=5.9874 blocks=687 val_best=inf
2026-09-15 13:26:46,858 | INFO    | main | step 645     engine=pytorch train=5.9896 blocks=687 val_best=inf
2026-09-15 13:26:57,051 | INFO    | main | step 667     engine=pytorch train=5.9921 blocks=687 val_best=inf
2026-09-15 13:27:07,335 | INFO    | main | step 689     engine=pytorch train=5.9856 blocks=687 val_best=inf
2026-09-15 13:27:12,489 | INFO    | pytorch_trainer | M step=700    train=5.9759  29034.8 tok/s  step=0.141s  cpu=5.6% gpu=34.0% vram=1287.0MB temp=64.0C pw=29.67W
2026-09-15 13:27:17,601 | INFO    | main | step 711     engine=pytorch train=5.9832 blocks=687 val_best=inf
2026-09-15 13:27:27,911 | INFO    | main | step 737     engine=pytorch train=5.9852 blocks=687 val_best=inf
