step,train_loss,step_s,tokens_s,cpu_pct,temp_c,gpu_pct,vram_mb,power_w
100,5.95291,0.1386,29554.2,2.6,71.0,0.0,1372.0,49.45
200,5.84149,0.1303,31433.3,3.0,74.0,34.0,1345.0,47.72
300,4.65434,0.1274,32159.4,1.9,73.0,97.0,1345.0,49.33
400,4.31047,0.1259,32533.5,3.6,75.0,25.0,1345.0,50.3
500,4.15762,0.125,32760.2,6.6,71.0,13.0,1345.0,46.13
600,3.89878,0.1216,33681.3,2.3,73.0,0.0,1345.0,50.46
700,3.87019,0.1219,33588.3,3.5,75.0,44.0,1342.0,50.04
800,3.82308,0.122,33584.9,2.2,71.0,0.0,1342.0,46.73
900,3.74402,0.122,33574.4,1.3,72.0,0.0,1342.0,50.42
1000,3.61924,0.1225,33424.6,16.8,71.0,0.0,1342.0,45.7
1100,3.61532,0.1226,33398.2,11.2,72.0,0.0,1342.0,50.25
1200,3.54108,0.1222,33507.8,11.8,73.0,0.0,1342.0,50.53
1300,3.40156,0.1223,33497.7,1.8,75.0,72.0,1342.0,50.58
1400,3.4289,0.1223,33501.7,2.3,72.0,0.0,1342.0,50.08
1500,3.26201,0.1221,33536.8,6.5,71.0,1.0,1342.0,49.4
1600,3.28768,0.122,33562.2,1.8,73.0,61.0,1342.0,50.74
1700,3.37962,0.1221,33556.1,1.9,72.0,0.0,1358.0,46.12
1800,3.3201,0.1228,33366.0,2.6,72.0,71.0,1358.0,50.07
1900,3.06671,0.1231,33271.6,4.3,72.0,0.0,1353.0,50.85
2000,3.09465,0.1235,33167.9,17.0,72.0,17.0,1362.0,49.2
2100,3.11263,0.1235,33154.3,0.4,76.0,78.0,1342.0,50.18
2200,3.01453,0.1239,33065.9,1.2,72.0,0.0,1361.0,47.61
2300,3.10562,0.1234,33186.6,1.3,70.0,0.0,1342.0,49.97
2400,3.14118,0.1229,33323.9,0.9,72.0,0.0,1342.0,50.67
2500,2.95795,0.122,33581.5,5.5,72.0,0.0,1342.0,50.74
2600,2.90978,0.1218,33627.8,1.9,74.0,12.0,1342.0,50.56
2700,2.95413,0.1213,33770.0,1.3,75.0,53.0,1342.0,48.5
2800,2.95558,0.1209,33884.5,0.9,75.0,68.0,1342.0,50.03
2900,2.86633,0.1209,33875.7,2.6,75.0,64.0,1342.0,48.67
3000,2.78021,0.1217,33650.6,15.8,71.0,17.0,1362.0,46.68
3100,2.76484,0.1223,33482.2,3.2,73.0,2.0,1346.0,50.94
3200,2.8221,0.1225,33447.8,1.8,73.0,0.0,1346.0,50.7
3300,2.84652,0.1231,33268.5,3.5,73.0,35.0,1346.0,48.23
3400,2.82341,0.1232,33242.8,1.8,72.0,29.0,1346.0,50.58
3500,2.71548,0.1225,33431.3,6.4,71.0,17.0,1346.0,46.02
3600,2.70996,0.122,33569.9,5.0,72.0,0.0,1346.0,49.16
3700,2.81176,0.1221,33547.3,0.9,75.0,36.0,1348.0,50.92
3800,2.51298,0.1216,33690.8,2.3,75.0,96.0,1348.0,50.32
3900,2.72769,0.1216,33690.3,3.5,72.0,68.0,1348.0,47.6
4000,2.65419,0.1216,33687.7,7.0,71.0,0.0,1348.0,44.46
4100,2.67271,0.122,33566.2,4.1,72.0,0.0,1348.0,50.6
4200,2.78737,0.1224,33470.4,2.3,72.0,0.0,1348.0,46.11
4300,2.57112,0.1224,33468.6,10.0,72.0,0.0,1348.0,50.53
4400,2.71005,0.1228,33359.7,3.9,72.0,29.0,1348.0,49.88
4500,2.57542,0.1232,33238.4,6.1,73.0,0.0,1348.0,50.61
4600,2.60367,0.1232,33243.7,0.5,75.0,53.0,1344.0,48.39
4700,2.55859,0.1227,33389.4,0.9,74.0,1.0,1344.0,50.17
4800,2.56372,0.1225,33428.7,1.8,74.0,8.0,1344.0,49.84
4900,2.37899,0.122,33563.5,0.9,75.0,83.0,1344.0,50.87
5000,2.4659,0.1216,33694.9,6.9,72.0,15.0,1339.0,47.02
5100,2.55055,0.1218,33630.7,1.1,72.0,0.0,1342.0,48.83
5200,2.35412,0.122,33586.6,6.9,75.0,55.0,1340.0,49.22
5300,2.42667,0.1226,33417.4,11.7,72.0,23.0,1334.0,50.55
5400,2.45519,0.1227,33380.7,3.5,72.0,0.0,1334.0,50.93
5500,2.29495,0.1228,33359.8,7.1,71.0,17.0,1334.0,46.15
5600,2.2361,0.1223,33496.5,1.9,75.0,71.0,1337.0,51.11
5700,2.43457,0.1229,33336.9,2.6,73.0,0.0,1337.0,50.96
5800,2.32508,0.1231,33272.4,3.5,74.0,7.0,1336.0,50.37
5900,2.29297,0.1232,33259.9,3.0,72.0,0.0,1340.0,50.69
6000,2.31504,0.1233,33209.1,8.9,72.0,18.0,1337.0,48.01
